tabletype,min_cv,median_cv,mean_cv,iqr_cv,max_cv
od,0.46,94.83,71.37,69.6,288.75
rac,0.31,11.57,18.48,18.85,109.42
wac,0.4,13.28,21.22,22.25,167.17
