D_Cat,EM_Cat,F_Cat,FB_Cat,LEP_Cat,LI_Cat,OA_Cat,RM_Cat,Y_Cat
298,90,1360,145,57,369,1060,615,1045
1024,230,5,657,309,817,281,445,293
41,769,1,515,716,177,20,290,22
5,279,2,51,286,5,7,18,8
