"(-Inf, -1.5 SD]","(-1.5 SD, -0.5 SD]","(-0.5 SD, 0.5 SD]","(0.5 SD, 1.5 SD]","(1.5 SD, Inf]"
"0-15",0,0,0,0.26,1.04
"15.1-30",0,1.04,15.62,14.32,7.03
"30.1-60",0,18.75,25.78,1.56,0
"60.1+",4.69,9.38,0.52,0,0
