"(-Inf, -1.5 SD]","(-1.5 SD, -0.5 SD]","(-0.5 SD, 0.5 SD]","(0.5 SD, 1.5 SD]","(1.5 SD, Inf]"
"0-15",0,0,0,1,4
"15.1-30",0,4,60,55,27
"30.1-60",0,72,99,6,0
"60.1+",18,36,2,0,0
